LSOA11CD,LSOA21CD,CHGIND
E01000123,E01000123,U
E01000124,E01000124,U
E01000265,E01000265,U
E01000266,E01000266,U
E01000274,E01000274,U
E01000320,E01000320,U
E01000322,E01000322,U
E01000275,E01000275,U
E01000277,E01000277,U
E01000283,E01000283,U
E01000284,E01000284,U
E01000321,E01000321,U
E01000195,E01000195,U
E01000229,E01000229,U
E01000230,E01000230,U
E01000045,E01000045,U
E01000046,E01000046,U
E01000072,E01000072,U
E01000054,E01000054,U
E01000055,E01000055,U
E01000056,E01000056,U
E01000058,E01000058,U
E01000095,E01000095,U
E01000040,E01000040,U
E01000043,E01000043,U
E01000050,E01000050,U
E01000052,E01000052,U
E01000092,E01034475,S
E01000092,E01034476,S
E01000092,E01034477,S
E01000092,E01034478,S
E01000053,E01000053,U
E01000087,E01000087,U
E01000088,E01000088,U
E01000089,E01000089,U
E01000090,E01000090,U
E01000048,E01034479,M
E01000049,E01000049,U
E01000051,E01000051,U
E01033587,E01033587,U
E01033588,E01034479,M
E01000091,E01000091,U
E01000093,E01000093,U
E01000094,E01000094,U
E01000096,E01000096,U
E01000019,E01000019,U
E01000020,E01000020,U
E01000097,E01000097,U
E01000098,E01000098,U
E01000099,E01000099,U
E01032580,E01032580,U
E01000248,E01000248,U
E01000249,E01000249,U
E01000250,E01000250,U
E01000254,E01000254,U
E01000292,E01000292,U
E01000293,E01000293,U
E01000167,E01000167,U
E01000246,E01000246,U
E01000247,E01000247,U
E01000251,E01000251,U
E01000252,E01000252,U
E01000166,E01000166,U
E01000168,E01000168,U
E01000169,E01000169,U
E01033573,E01033918,S
E01000239,E01000239,U
E01000240,E01000240,U
E01000241,E01000241,U
E01000309,E01000309,U
E01000237,E01000237,U
E01000242,E01000242,U
E01000243,E01000243,U
E01000244,E01000244,U
E01000245,E01000245,U
E01000314,E01000314,U
E01000183,E01000183,U
E01000206,E01000206,U
E01000207,E01000207,U
E01000208,E01000208,U
E01000210,E01000210,U
E01000213,E01000213,U
E01000236,E01000236,U
E01000238,E01000238,U
E01000310,E01000310,U
E01000311,E01000311,U
E01000205,E01000205,U
E01000209,E01000209,U
E01000211,E01000211,U
E01000212,E01000212,U
E01000216,E01000216,U
E01000217,E01000217,U
E01000150,E01000150,U
E01000305,E01000305,U
E01000306,E01000306,U
E01000308,E01000308,U
E01000312,E01000312,U
E01000313,E01000313,U
E01000145,E01000145,U
E01000215,E01000215,U
E01000218,E01000218,U
E01000219,E01000219,U
E01000220,E01000220,U
E01000225,E01000225,U
E01000135,E01000135,U
E01000136,E01000136,U
E01000144,E01000144,U
E01000146,E01000146,U
E01000214,E01000214,U
E01000141,E01000141,U
E01000221,E01000221,U
E01000223,E01000223,U
E01000307,E01000307,U
E01000138,E01000138,U
E01000142,E01000142,U
E01000231,E01000231,U
E01007390,E01007390,U
E01032550,E01034258,S
E01007391,E01007391,U
E01007392,E01007392,U
E01007395,E01007395,U
E01019144,E01019144,U
E01019145,E01019145,U
E01019146,E01019146,U
E01019147,E01019147,U
E01019148,E01019148,U
E01019149,E01019149,U
E01019150,E01019150,U
E01019151,E01019151,U
E01019152,E01019152,U
E01019153,E01019153,U
E01019154,E01019154,U
E01019155,E01019155,U
E01019162,E01019162,U
E01019163,E01019163,U
E01019156,E01019156,U
E01019159,E01019159,U
E01019164,E01019164,U
E01019165,E01019165,U
E01019166,E01019166,U
E01019167,E01019167,U
E01019168,E01019168,U
E01019169,E01019169,U
E01019170,E01019170,U
E01019171,E01019171,U
E01019161,E01019161,U
E01019176,E01019176,U
E01019177,E01019177,U
E01019178,E01019178,U
E01019179,E01019179,U
E01019140,E01034069,M
E01019160,E01019160,U
E01019172,E01019172,U
E01019173,E01019173,U
E01019174,E01034069,M
E01019175,E01019175,U
E01019141,E01019141,U
E01019142,E01019142,U
E01019143,E01019143,U
E01019157,E01019157,U
E01019158,E01019158,U
E01019180,E01019180,U
E01019182,E01019182,U
E01019184,E01019184,U
E01033160,E01033160,U
E01019138,E01019138,U
