LSOA11CD,pct_bad_health_2011,pct_bad_health_2021
E01000929,9.075,6.736
E01000930,8.848,6.999
E01000931,8.796,6.459
E01000932,6.094,5.057
E01000933,5.625,5.53
E01000934,7.968,8.235
E01000935,6.996,6.692
E01000936,5.438,6.303
E01000937,3.856,5.009
E01000938,5.023,5.267
E01000939,6.95,6.427
E01000940,6.283,6.303
E01000941,9.756,7.018
E01000942,2.416,3.854
E01000943,4.269,3.22
E01000944,6.214,7.992
E01000945,4.283,5.396
E01000946,5.805,4.513
E01000947,5.834,4.264
E01000948,6.74,5.49
E01000949,5.205,5.378
E01000950,8.805,5.396
E01000951,7.607,5.978
E01000952,9.601,7.747
E01000953,11.808,5.563
E01000954,8.092,7.367
E01000955,9.216,8.241
E01000956,7.115,6.977
E01000957,7.114,5.076
E01000958,5.521,5.204
E01000959,7.904,7.156
E01000960,3.608,3.374
E01000961,6.285,5.528
E01000962,2.198,1.947
E01000963,4.576,3.54
E01000964,4.249,4.74
E01000965,3.548,3.376
E01000966,2.116,1.486
E01000967,3.123,3.704
E01000968,4.718,3.268
E01000969,2.51,2.185
E01000970,2.77,3.125
E01000971,3.924,2.341
E01000972,8.711,7.453
E01000973,5.889,4.489
E01000974,7.147,8.365
E01000975,3.224,3.495
E01000976,5.035,4.011
E01000977,7.395,7.455
E01000978,4.62,4.282
E01000979,3.699,3.702
E01000980,3.767,3.61
E01000981,3.776,3.41
E01000982,4.925,4.276
E01000983,3.271,2.862
E01000984,7.983,5.354
E01000985,2.903,3.508
E01000986,3.28,3.612
E01000987,3.704,3.166
E01000989,3.632,3.343
E01000990,7.394,9.199
E01000991,3.942,4.318
E01000992,5.511,6.503
E01000993,3.148,3.273
E01000994,4.334,4.588
E01000995,4.66,3.734
E01000996,4.545,3.762
E01000997,6.16,3.336
E01000998,3.997,5.358
E01000999,4.129,3.704
E01001000,4.972,4.78
E01001001,5.774,4.045
E01001002,5.212,3.528
E01001003,3.971,3.713
E01001004,4.415,3.941
E01001005,3.794,4.155
E01001006,3.53,4.19
E01001007,4.573,3.073
E01001008,5.721,5.396
E01001009,3.088,4.148
E01001010,8.124,6.239
E01001011,4.925,4.022
E01001012,5.879,5.002
E01001013,8.424,7.156
E01001014,4.844,3.812
E01001015,5.069,4.555
E01001016,3.05,3.813
E01001017,2.032,2.85
E01001018,3.406,3.093
E01001019,4.037,3.219
E01001020,4.54,3.509
E01001021,8.333,7.601
E01001022,4.91,4.184
E01001023,5.556,3.351
E01001024,2.171,3.958
E01001025,2.932,2.446
E01001026,4.164,3.775
E01001027,3.224,2.749
E01001028,4.172,4.048
E01001029,5.148,3.781
E01001030,3.26,2.476
E01001031,3.274,2.404
E01001032,3.868,3.213
E01001033,3.651,2.998
E01001034,2.704,3.288
E01001035,4.034,5.699
E01001036,3.616,2.776
E01001037,2.865,3.249
E01001038,4.074,3.466
E01001039,2.985,2.486
E01001040,2.752,3.136
E01001041,3.911,3.584
E01001042,3.52,4.194
E01001043,3.142,2.805
E01001044,3.486,4.373
E01001045,5.11,2.126
E01001046,2.741,3.219
E01001047,4.483,3.922
E01001048,3.296,2.397
E01001049,4.017,2.637
E01001050,7.473,5.948
E01001051,6.52,7.477
E01001052,5.736,7.498
E01001053,6.411,5.188
E01001054,7.076,6.24
E01001055,8.715,8.031
E01001056,5.943,5.808
E01001057,4.961,5.022
E01001058,4.449,3.838
E01001059,3.653,4.686
E01001060,3.099,3.459
E01001061,5.153,5.12
E01001062,3.382,3.777
E01001063,3.639,2.997
E01001064,4.082,3.618
E01001065,3.973,4.374
E01001066,6.355,7.089
E01001067,2.269,3.628
E01001068,3.326,3.649
E01001069,3.971,4.602
E01001070,5.388,4.706
E01001071,2.961,3.323
E01001072,4.301,4.987
E01001073,3.956,4.031
E01001074,3.725,4.207
E01001075,3.167,3.865
E01001076,5.915,5.999
E01001077,4.083,4.733
E01001078,5.271,5.59
E01001079,6.782,6.82
E01001080,9.356,10.939
E01001081,5.536,5.227
